doc_type,doc_no,date,original_customer,ac_code,original_division,created_by,created_ts,original_salesman,amount,customer,division,salesman
DO10,1955,2024-09-05,AL NAHDA NATIONAL SCHOOLS,AR-A0145,HO,SHIBIN,2024-09-05,FAISAL,780.0,cus_0645899566,div_2006915470,man_1993412060
DO30,2678,2024-09-16,M B H BUILDING MATERIALS TRADING LLC,AR-M0002,Sharjah,ZAINUDHEEN,2024-09-16,ZAMEER ,710.0,cus_1558551205,div_1742449716,man_1964161347
DO30,2698,2024-09-18,RAMZ AL MADEENA BLDG MAT TR LLC,AR-R0044,Sharjah,ZAINUDHEEN,2024-09-18,ZAMEER ,3270.0,cus_0287427505,div_1742449716,man_1964161347
ODO10,3734,2024-09-21,BANIYAS INVESTMENT & DEVELOPMENT COMPANY L L C,AR-B0009,HO,RIYAS,2024-09-21,RIYAS M,20.0,cus_0428245103,div_2006915470,man_2030811350
DO30,2740,2024-09-24,NAJMAT AL QAMAR BLDG. MAT. TRDG. L.L.C.  IND-4,AR-N0003,Sharjah,ZAINUDHEEN,2024-09-24,ZAMEER ,1550.0,cus_0954140832,div_1742449716,man_1964161347
DO30,2757,2024-09-26,AL WAFI INTERNATIONAL TRADING. L.L.C.,AR-A0200,Sharjah,ZAINUDHEEN,2024-09-26,ZAMEER ,1650.0,cus_1895904219,div_1742449716,man_1964161347
DO30,2767,2024-09-26,AL TAJ AL MAASY BLDG MAT TR LLC,AR-A0402,Sharjah,ZAINUDHEEN,2024-09-26,ZAMEER ,315.0,cus_0748411905,div_1742449716,man_1964161347
ODO10,3790,2024-09-30,AL NASIYA GENERAL CONTRACTING L.L.C. CO,AR-A0149,HO,NAVEED,2024-09-30,NEVIN K,690.0,cus_1520944275,div_2006915470,man_0832785071
DO30,2891,2024-10-12,TAJER BUILDING & CONSTRUCTION MATERIALS TRADING DIP,AR-T0041,Sharjah,ZAINUDHEEN,2024-10-12,ZAMEER ,2190.0,cus_2058933583,div_1742449716,man_1964161347
DO30,3031,2024-10-29,DINAR BLDG.MAT.TR.LLC,AR-D0023,Sharjah,ZAINUDHEEN,2024-10-29,ZAMEER ,2975.0,cus_0648010649,div_1742449716,man_1964161347
