doctype,docno,docdate,party_code,original_party_name,lpo_no,location,original_salesman,gross_amount,discount,net_amount,vat_amount,created_ts,created_by,invoice_mode,area,original_division,division,salesman,party_name
CSI10,1134,2024-01-03,ARC-H1602,HEIRS OF LATE HADI HAMAD HUWAREB AL MANSOURI,,Musaffah Shop,ABBAS ,5866.25,0.0,5866.25,293.32,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_0101534404
CSI10,1136,2024-01-03,ARC-W0022,WALK IN - MUS SHOP,,Musaffah Shop,ABBAS ,290.0,0.0,290.0,14.5,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_0832930093
CSI20,1299,2024-01-03,ARC-S0072,SAKNAFTA EGYPT PETROLEUM SERVICES ABU DHABI,,Multicolor,RISHAD C,1148.0,0.0,1148.0,57.4,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0259627953
CSI20,1298,2024-01-03,ARC-O0042,ONMARK INTERNATIONAL,,Multicolor,RISHAD C,550.0,0.0,550.0,27.5,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0936905916
CSI10,1135,2024-01-03,ARC-H1602,HEIRS OF LATE HADI HAMAD HUWAREB AL MANSOURI,,Musaffah Shop,ABBAS ,298.2,0.0,298.2,14.91,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_0101534404
CSI10,1137,2024-01-03,ARC-M0165,MEENA TECHNICAL SERVICES,,Musaffah Shop,ABBAS ,13.0,0.0,13.0,0.65,2024-01-03,ABBAS,CASH,,HO,div_2006915470,man_1563038311,party_1691758755
CSI20,1301,2024-01-03,ARC-H0047,HAMAD SUHAIL AL KHAILY ESTABLISHMENT,,Multicolor,SANOOP,260.0,0.0,260.0,13.0,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_0264100041,party_1193311890
CSI10,1139,2024-01-03,ARC-L1596,LAND SPEC PROPERTY MANAGEMENT AND MAINTENANCE - SOLE PROPRIETORSHIP L.L.C.,,Musaffah Shop,FAISAL,238.5,0.44,238.06,11.9,2024-01-03,FAISAL,CASH,,HO,div_2006915470,man_1993412060,party_1580435688
CSI10,1140,2024-01-03,ARC-M0335,MORGANTI MAINTANANCE AND FACILITIES MANAGEMENT SERVICES-S.P,,Musaffah Shop,FAISAL,365.0,0.0,365.0,18.25,2024-01-03,FAISAL,CASH,,HO,div_2006915470,man_1993412060,party_0451611894
CSI20,1302,2024-01-03,ARC-O0012,OCEAN MARINE EQUIPMENT & FISHING REQUISITES COMPANY,,Multicolor,RISHAD C,525.0,0.0,525.0,26.25,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0376431749
CSI10,1141,2024-01-03,ARC-S0080,SALEM AL MASKARI GENERAL TRANSPORTING ESTABISHMENT,,Musaffah Shop,FAISAL,40.25,0.0,40.25,2.02,2024-01-03,FAISAL,CASH,,HO,div_2006915470,man_1993412060,party_0312354838
CSI20,1303,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,RISHAD C,170.0,0.0,170.0,8.5,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0984764295
CSI20,1304,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,RISHAD C,188.0,0.0,188.0,9.4,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0984764295
CSRT10,1003,2024-01-03,ARC-S0080,SALEM AL MASKARI GENERAL TRANSPORTING ESTABISHMENT,,Musaffah Shop,FAISAL,-1156.5,-0.34,-1156.16,-57.81,2024-01-03,KEA,CASH,,HO,div_2006915470,man_1993412060,party_0312354838
CSI40,1039,2024-01-03,ARC-J0068,JAMES L. WILLIAMS MIDDLE EAST LIMITED,,Branch 2,SHAJAHAN ,973.68,0.0,973.68,48.68,2024-01-03,SHAJAHAN M,CASH,,Branch 2,div_0097926054,man_1937350786,party_0323881982
CSI20,1305,2024-01-03,ARC-S1653,SECURE ELECTROMECHANICAL EQUIPMENT,,Multicolor,RISHAD C,690.0,0.0,690.0,34.5,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_1672616616
CSI20,1306,2024-01-03,ARC-L1597,LAND SPEC PROPERTY MANAGEMENT AND MAINTENANCE-SOLE PROPRIETORSHIP LLC,,Multicolor,SANOOP,98.0,0.0,98.0,4.9,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_0264100041,party_1135898680
CSI20,1307,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,RISHAD C,182.0,0.0,182.0,9.1,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0984764295
CSI20,1308,2024-01-03,ARC-A1473,ASTREA TECHNICAL SERVICES LLC,,Multicolor,RISHAD C,75.0,0.0,75.0,3.75,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0669660105
CSI20,1309,2024-01-03,ARC-W0021,WALK IN - MCJ,,Multicolor,RISHAD C,143.0,0.0,143.0,7.15,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1841802797,party_0984764295
CSRT40,1001,2024-01-03,ARC-W0024,WALK IN - BR2,,Branch 2,RASHID ,-146.0,0.0,-146.0,-7.3,2024-01-03,RASHID,CREDIT,,Branch 2,div_0097926054,man_0256316879,party_2060039225
CSI20,1310,2024-01-03,ARC-S0015,SABHA ADVERTISING COMPANY L.L.C.,,Multicolor,NISHAD T,1020.0,0.0,1020.0,51.0,2024-01-03,RISHAD C,CASH,,MCJ,div_0556003793,man_1830493139,party_1669792974
